Crop,Days_after_harvest,Temperature,Relative_Humidity,Price_drop_percent,Interaction_Temp_RH,Interaction_Days_Temp,Spoilage_Probability,Spoilage_Class
Wheat,361,38.29984854528513,75.91950905182219,-19.078695169029444,1.4538528491585967,6.913122662423966,0.9275162830998275,2
Potato,0,44.247746304049855,89.94655844802531,-15.13626225252067,1.989966249565308,0.0,0.8360886241370603,2
Wheat,24,27.60605607398844,71.48538589793426,0.23615130494810188,0.9867147857845379,0.3312726728878613,0.6285171559520788,1
Onion,1,44.34388797103648,53.966280425818255,-23.657549582702543,1.1965373467080116,0.02217194398551824,0.08161356949298558,0
Potato,19,44.5807721451697,68.0057735948788,30.19582847154244,1.515874948594645,0.4235173353791122,0.49356148710152753,1
Onion,89,44.14080082686398,88.50384088698766,-8.677036157864052,1.9533152065024915,1.9642656367954472,0.9933504748836055,2
Rice,31,26.02563665065029,80.9958111295275,12.699766044783466,1.0539837753408896,0.40339736808507953,0.3171288129595694,0
Tomato,1,36.56305710884955,58.70266456536466,6.404761482446759,1.0731744384725335,0.018281528554424775,0.5532065629563037,1
Onion,25,20.782832311388965,90.53708647569991,1.482789335883595,0.9408085430930965,0.25978540389236204,0.6904523439827863,2
Wheat,5,28.133258269081608,63.320637381368925,-11.005567775827288,0.8907079226064576,0.07033314567270402,0.24958533523144447,0
Rice,106,44.131382681603455,76.42205486120108,-10.680057258421964,1.686305474197079,2.338963282124983,0.4406605724959053,1
Tomato,17,39.306119232416435,51.92294089205035,-29.613451801347832,1.020444652800321,0.3341020134755397,0.7610674460210924,2
Potato,8,37.78354881871625,87.41053243187234,12.4171982346708,1.6513400597048142,0.151134195274865,0.6507255318859858,1
Wheat,238,35.58245317068895,59.85388149115895,-25.550915479978347,1.0648739676215648,4.2343119273119845,0.8271543638788578,2
Rice,156,35.93893678388033,93.23276455457959,3.055044761336454,1.6753432157567172,2.803237069142666,0.8349594937266314,2
Tomato,5,25.899622993723895,55.36409936567944,-27.169648732309806,0.7169546504790828,0.06474905748430973,0.1997967726388377,0
Onion,0,22.69728567483261,41.885751141204054,14.54872878846463,0.4753464296784272,0.0,0.2397634682250919,0
Rice,34,30.259573075890742,85.33306831258292,-13.984128415586426,1.2910711081972899,0.5144127422901427,0.05590462103083332,0
Potato,47,42.01169597538144,77.4612428880276,-9.30564199136002,1.6271390930434968,0.987274855421464,0.6488820103043954,1
Wheat,24,42.313974962249446,72.36053451493905,26.520810861484378,1.530930922860059,0.5077676995469933,0.3166877776662132,0
Wheat,52,42.67071103864385,56.32793496307812,15.338308437895364,1.2017765181065154,1.1094384870047402,0.2977525861371261,0
